dH/H forceTopX forceTopY lengthFoot
0 7.062249343342437 -9998.998956220204 0.5
-1.000e-03 1.234e+03 -2.976e+04 5.000e-01
-2.000e-03 2.000e+03 -4.300e+04 5.000e-01
-3.000e-03 2.572e+03 -5.461e+04 5.000e-01
-4.000e-03 3.109e+03 -6.528e+04 5.000e-01
-5.000e-03 3.510e+03 -7.521e+04 5.000e-01
-6.000e-03 3.788e+03 -8.463e+04 5.000e-01
-7.000e-03 3.980e+03 -9.334e+04 5.000e-01
-8.000e-03 4.120e+03 -1.008e+05 5.000e-01
-9.000e-03 4.094e+03 -1.077e+05 5.000e-01
-1.000e-02 3.611e+03 -1.143e+05 5.000e-01
-1.100e-02 3.125e+03 -1.194e+05 5.000e-01
-1.200e-02 2.375e+03 -1.250e+05 5.000e-01
-1.300e-02 1.510e+03 -1.304e+05 5.000e-01
-1.400e-02 -2.014e+02 -1.352e+05 5.000e-01
-1.500e-02 -1.488e+03 -1.392e+05 5.000e-01
-1.600e-02 -2.695e+03 -1.431e+05 5.000e-01
-1.700e-02 -3.742e+03 -1.441e+05 5.000e-01
-1.800e-02 -4.648e+03 -1.463e+05 5.000e-01
-1.900e-02 -5.892e+03 -1.488e+05 5.000e-01
-2.000e-02 -7.434e+03 -1.488e+05 5.000e-01
-2.100e-02 -8.423e+03 -1.521e+05 5.000e-01
-2.200e-02 -9.254e+03 -1.534e+05 5.000e-01
-2.300e-02 -1.008e+04 -1.561e+05 5.000e-01
-2.400e-02 -1.101e+04 -1.566e+05 5.000e-01
-2.500e-02 -1.181e+04 -1.582e+05 5.000e-01
-2.600e-02 -1.230e+04 -1.578e+05 5.000e-01
-2.700e-02 -1.306e+04 -1.584e+05 5.000e-01
-2.800e-02 -1.340e+04 -1.600e+05 5.000e-01
-2.900e-02 -1.414e+04 -1.583e+05 5.000e-01
-3.000e-02 -1.421e+04 -1.595e+05 5.000e-01
-3.100e-02 -1.462e+04 -1.611e+05 5.000e-01
-3.200e-02 -1.529e+04 -1.606e+05 5.000e-01
-3.300e-02 -1.477e+04 -1.524e+05 5.000e-01
-3.400e-02 -1.456e+04 -1.481e+05 5.000e-01
-3.500e-02 -1.489e+04 -1.448e+05 5.000e-01
-3.600e-02 -1.532e+04 -1.428e+05 5.000e-01
-3.700e-02 -1.561e+04 -1.402e+05 5.000e-01
-3.800e-02 -1.585e+04 -1.380e+05 5.000e-01
-3.900e-02 -1.527e+04 -1.330e+05 5.000e-01
-4.000e-02 -1.505e+04 -1.340e+05 5.000e-01
-4.100e-02 -1.469e+04 -1.327e+05 5.000e-01
-4.200e-02 -1.531e+04 -1.308e+05 5.000e-01
-4.300e-02 -1.564e+04 -1.315e+05 5.000e-01
-4.400e-02 -1.604e+04 -1.310e+05 5.000e-01
-4.500e-02 -1.709e+04 -1.322e+05 5.000e-01
-4.600e-02 -1.683e+04 -1.297e+05 5.000e-01
-4.700e-02 -1.852e+04 -1.278e+05 5.000e-01
-4.800e-02 -1.863e+04 -1.298e+05 5.000e-01
-4.900e-02 -1.825e+04 -1.300e+05 5.000e-01
-5.000e-02 -1.859e+04 -1.327e+05 5.000e-01
-5.100e-02 -1.776e+04 -1.302e+05 5.000e-01
-5.200e-02 -1.801e+04 -1.323e+05 5.000e-01
-5.300e-02 -1.820e+04 -1.323e+05 5.000e-01
-5.400e-02 -1.823e+04 -1.307e+05 5.000e-01
-5.500e-02 -1.872e+04 -1.282e+05 5.000e-01
-5.600e-02 -1.895e+04 -1.294e+05 5.000e-01
-5.700e-02 -1.908e+04 -1.309e+05 5.000e-01
-5.800e-02 -1.883e+04 -1.281e+05 5.000e-01
-5.900e-02 -1.873e+04 -1.251e+05 5.000e-01
-6.000e-02 -1.863e+04 -1.192e+05 5.000e-01
-6.100e-02 -1.920e+04 -1.194e+05 5.000e-01
-6.200e-02 -1.984e+04 -1.204e+05 5.000e-01
-6.300e-02 -1.972e+04 -1.170e+05 5.000e-01
-6.400e-02 -2.139e+04 -1.169e+05 5.000e-01
-6.500e-02 -2.191e+04 -1.169e+05 5.000e-01
-6.600e-02 -2.183e+04 -1.178e+05 5.000e-01
-6.700e-02 -2.167e+04 -1.194e+05 5.000e-01
-6.800e-02 -2.182e+04 -1.176e+05 5.000e-01
-6.900e-02 -2.163e+04 -1.152e+05 5.000e-01
-7.000e-02 -2.050e+04 -1.140e+05 5.000e-01
-7.100e-02 -2.067e+04 -1.133e+05 5.000e-01
-7.200e-02 -2.113e+04 -1.097e+05 5.000e-01
-7.300e-02 -2.098e+04 -1.099e+05 5.000e-01
-7.400e-02 -2.098e+04 -1.123e+05 5.000e-01
-7.500e-02 -2.074e+04 -1.138e+05 5.000e-01
-7.600e-02 -2.096e+04 -1.146e+05 5.000e-01
-7.700e-02 -2.185e+04 -1.170e+05 5.000e-01
-7.800e-02 -2.157e+04 -1.145e+05 5.000e-01
-7.900e-02 -2.189e+04 -1.154e+05 5.000e-01
-8.000e-02 -2.174e+04 -1.152e+05 5.000e-01
-8.100e-02 -2.204e+04 -1.160e+05 5.000e-01
-8.200e-02 -2.226e+04 -1.154e+05 5.000e-01
-8.300e-02 -2.354e+04 -1.172e+05 5.000e-01
-8.400e-02 -2.393e+04 -1.174e+05 5.000e-01
-8.500e-02 -2.474e+04 -1.171e+05 5.000e-01
-8.600e-02 -2.501e+04 -1.125e+05 5.000e-01
-8.700e-02 -2.531e+04 -1.094e+05 5.000e-01
-8.800e-02 -2.577e+04 -1.099e+05 5.000e-01
